1603::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::13:22 12.12.::Kasicka = Mara::http:// :: 
1577::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::18:35 10.02.::To mně taky nee.::http:// :: 
1576::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::18:34 10.02.::V 6ti se mi fakt nechce::http:// :: 
1575::volejbal::<span style="color:#9966FF;">Majda</span>:: ::18:34 10.02.::Takže se taky odhlašuju. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1574::volejbal::<span style="color:#33CCFF;">Petr</span>:: ::18:33 10.02.::No v šesti bez klíčů to asi nemá cenu  <img src="zdroje/icons/smileys/15.gif" width="15" height="15" border="0" /> ::http:// :: 
1573::volejbal::<span style="color:#9966FF;">Majda</span>:: ::18:32 10.02.::Takže se taky odhlašuju. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1572::volejbal::<span style="color:#CC0033;">Tomáš R.</span>:: ::18:25 10.02.::Dobře no... tak nechtěl jsem psat, ze se mi moc nechce, ale nechci být ten, kvuli komu by to nebylo.  <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" /> ::http:// :: 
1571::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::18:20 10.02.::Já je klidně nějak donesu, není problém, pokud půjdete::http:// :: 
1570::volejbal::<span style="color:#CC0033;">Tomáš R.</span>:: ::18:17 10.02.::Jestli se nenajde nikdo, kdo to ma cestu kolem Toma... ::http:// :: 
1569::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::17:55 10.02.::Zdary, a má to tedy cenu. Bez klíčů? ::http:// :: 
1568::volejbal::<span style="color:#9966FF;">Majda</span>:: ::17:54 10.02.::Takže se taky odhlašuju. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1567::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::17:47 10.02.::Já dnes nebudu, jsem rozsekanej z víkendu <img src='zdroje/icons/smileys/8.gif' width='15' height='15' border='0' /> nepojedete někdo busem odněkud z města? že bych vám dal klíče::http:// :: 
1566::volejbal::<span style="color:#33CCFF;">Jirka</span>:: ::18:51 03.02.::Osm je dost castej pocet v posledni dobe. Takze samozrejme, ze jo 😄::http:// :: 
1565::volejbal::<span style="color:#33CCFF;">Jirka</span>:: ::18:47 03.02.::Osm je dost castej pocet v posledni dobe. Takze samozrejme, ze jo 😄::http:// :: 
1564::volejbal::<span style="color:#33CCFF;">Katka Voč.</span>:: ::18:41 03.02.::Já bych možná šla, šli byste v osmi? <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" /> ::http:// :: 
1563::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::18:39 03.02.::V 7 se mi moc nechce, toho bylo za poslední dobu ažaž::http:// :: 
1562::volejbal::<span style="color:#990099;">host</span>:: ::18:21 03.02.::Ahoj, jak to dnes vidíte? Hanka::http:// :: 
1561::volejbal::<span style="color:#333399;">Tomáš R.</span>:: ::15:48 03.02.::Léčim slivovicí...  <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" /> ::http:// :: 
1560::volejbal::<span style="color:#33CCFF;">Ondra</span>:: ::19:15 13.01.::Ahoj, špatná zpráva, bolí mě hlava jak střep, tak to dnes nedám :-(::http:// :: 
1559::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::17:17 13.01.::Když nás bude alespoň 8 tak jdu jinak ne 😁::http:// :: 
1558::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::15:59 13.01.::Doufám, že se ještě někdo přihlásí a bude vás aspoň těch 8, já jsem pořád nachcípanej <img src='zdroje/icons/smileys/8.gif' width='15' height='15' border='0' />::http:// :: 
1557::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::15:33 13.01.::Když nás bude alespoň 8 tak jdu jinak ne 😁::http:// :: 
1556::volejbal::<span style="color:#33CCFF;">Jirka</span>:: ::15:27 13.01.::Koukejte se dohlasit. Vcera jsem malo cvicil, abych mohl poradne bouchat, ne ze zase budu behat maraton! 😄::http:// :: 
1555::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::19:24 06.01.::jo no, třeba že nás bude 6 nebo 5 <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" />::http:// :: 
1554::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::19:23 06.01.::Treba jeste nekdo prekvapi <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1553::volejbal::<span style="color:#FF66FF;">Majda</span>:: ::19:17 06.01.::Sakra, že se to zvrtne, že půjdeme, jsem nečekala. <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" />::http:// :: 
1552::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::19:16 06.01.::Jdeme v 7 jo? <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" /> To je hrozná bída::http:// :: 
1551::volejbal::<span style="color:#33CCFF;">Jirka</span>:: ::19:15 06.01.::Cajk. Jedu 😄::http:// :: 
1550::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::19:14 06.01.::ja tam stejne musim kvuli antenkam .... Vinickej sber je tam nechal mimo skrinku <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1549::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::19:13 06.01.::Tak pudem, ja budu hrat za dva <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1548::volejbal::<span style="color:#33CCFF;">Jirka</span>:: ::19:12 06.01.::Nejak se tedy vyjadreme. At nejedu 50 km zbytecne. Uz bych potreboval jet 😄::http:// :: 
1547::volejbal::<span style="color:#CCFFFF;">Majda</span>:: ::19:11 06.01.::Takže?::http:// :: 
1546::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::18:51 06.01.::No osmej  by se hodil ..... ::http:// :: 
1545::volejbal::<span style="color:#33CCFF;">Majda</span>:: ::18:23 06.01.::Taky by mě zajímalo jestli to má cenu. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1544::volejbal::<span style="color:#33CCFF;">Majda</span>:: ::18:18 06.01.::Taky by mě zajímalo jestli to má cenu. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1543::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::17:57 06.01.::to je zase číslo <img src='zdroje/icons/smileys/8.gif' width='15' height='15' border='0' /> , jdeme?::http:// :: 
1542::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::13:22 06.01.::Jsem ještě rozsekanej ze soboty, tak nedorazím::http:// :: 
1541::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::18:28 16.12.::jj, dneska to rozpustime ...::http:// :: 
1540::volejbal::<span style="color:#33CCFF;">Honza</span>:: ::16:47 16.12.::Má to v 5 smysl?::http:// :: 
1539::volejbal::<span style="color:#33CCFF;">Ondra</span>:: ::14:09 16.12.::rád bych dorazil, snad nezkejsnu v práci  <img src="zdroje/icons/smileys/7.gif" width="15" height="15" border="0" /> ::http:// :: 
1538::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::22:25 26.11.::Ok to je rozumný. Peču na to. 😁👍::http:// :: 
1537::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::19:13 18.11.::Ok to je rozumný. Peču na to. 😁👍::http:// :: 
1536::volejbal::<span style="color:#33CCFF;">Katka</span>:: ::18:58 18.11.::Ok <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" /> ::http:// :: 
1535::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::18:57 18.11.::Ok, tak to dneska zapichnem, tak v nedeli <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" />::http:// :: 
1534::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::18:49 18.11.::v 6 nejdu, půjdu radši na basket::http:// :: 
1533::volejbal::<span style="color:#33CCFF;">Tomáš V.</span>:: ::18:33 18.11.::V šesti se mi asi ani moc nechce  jít :/::http:// :: 
1532::volejbal::<span style="color:#33CCFF;">Michal</span>:: ::17:31 18.11.::No to je libový počet ještě se odhlásí Majda a je to 😀::http:// :: 
1531::volejbal::<span style="color:#CC0066;">Tomáš R.</span>:: ::19:32 11.11.::Dnes jdu,ale jen do 21 hodin ::http:// :: 
1530::volejbal::<span style="color:#33CCFF;">Agáta</span>:: ::21:30 03.11.::Pokusím se dorazit, ale mám schůzi, tak to určitě bude později, jetli vůbec <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" /> <img src="zdroje/icons/smileys/1.gif" width="15" height="15" border="0" />::http:// :: 
1529::volejbal::<span style="color:#33CCFF;">host</span>:: ::18:54 28.10.::Když už se tu probírají hackeři, tak refresh stránky chce znova odeslat form a odešle znova zprávu. <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" />::http:// :: 
1528::volejbal::<span style="color:#33CCFF;">host</span>:: ::18:54 28.10.::Čau, nejedete někdo z Bor, že byste mi vzal? Tomáš Huda::http:// :: 
1527::volejbal::<span style="color:#33CCFF;">host</span>:: ::18:53 28.10.::Čau, nejedete někdo z Bor, že byste mi vzal? Tomáš Huda::http:// :: 
1526::volejbal::<span style="color:#33CCFF;">host</span>:: ::18:45 28.10.::Čau, nejedete někdo z Bor, že byste mi vzal? Tomáš Huda::http:// :: 
1525::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::17:58 28.10.::Jeste by mel dorazit i Tomas Huda::http:// :: 
1524::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::17:57 28.10.::Winky = Michal Votrel::http:// :: 
1523::volejbal::<span style="color:#FF0033;">Evča</span>:: ::17:33 28.10.::Jedu z Moravy a nestíhám :-( ::http:// :: 
1522::volejbal::<span style="color:#0000FF;">Jarda</span>:: ::09:41 25.10.::jj, v pondělí 28.10. halu máme::http:// :: 
1521::volejbal::<span style="color:#330099;">Tomáš R.</span>:: ::22:16 24.10.::Máme volejbal i o svátku?::http:// :: 
1520::volejbal::<span style="color:#3300FF;">Jarda</span>:: ::19:27 07.10.::Ahoj, dneska na to kaslem, v peti to nema cenu, ja sem taky rozlamanej a a Michal mi taky psal ze se mu v tak malo lidech nechce ...::http:// :: 
1519::volejbal::<span style="color:#33CCFF;">Honza</span>:: ::18:50 07.10.::Jako Bych šel ::http:// :: 
1518::volejbal::<span style="color:#33CCFF;">Honza</span>:: ::18:43 07.10.::Jako Bych šel ::http:// :: 
1517::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::18:40 07.10.::Má to dneska vůbec cenu? ::http:// :: 
1516::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::18:39 07.10.::Má to dneska vůbec cenu? ::http:// :: 
1515::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::18:39 07.10.::Má to dneska vůbec cenu? ::http:// :: 
1514::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::18:18 07.10.::Má to dneska vůbec cenu? ::http:// :: 
1513::volejbal::<span style="color:#FF3333;">Štěpán</span>:: ::17:53 07.10.::Abych pravdu rek, jsem po vcerejsku rozlamanej, asi taky nedorazim.::http:// :: 
1512::volejbal::<span style="color:#000033;">Tomáš R.</span>:: ::16:19 07.10.::Myslel jsem si, že po včerejší AVL přijdu. Ale nějak se to rozlezelo. Takže nejdu. <img src="zdroje/icons/smileys/17.gif" width="16" height="16" border="0" /> ::http:// :: 
1511::volejbal::<span style="color:#9900CC;">host</span>:: ::12:21 23.09.::Místo Agi --> Hanka Ř.::http:// :: 
1510::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::11:31 23.09.::Já ještě nevím, mám v pondělí ještě poslední beach. Ale dík za pozvání.::http:// :: 
1509::volejbal::<span style="color:#33CCFF;">Winky</span>:: ::08:53 22.09.::Já ještě nevím, mám v pondělí ještě poslední beach. Ale dík za pozvání.::http:// :: 
1508::volejbal::<span style="color:#FF3333;">Evča</span>:: ::16:18 08.04.::Lucias --> Tyna::http:// :: 
1507::volejbal::<span style="color:#00FF00;">Štěpán</span>:: ::18:26 01.04.::Uprimne, mne se moc nechce vubec <img src="zdroje/icons/smileys/4.gif" width="15" height="15" border="0" /> .. jsem porad celkem dost unavenej (prece jen jsem tu nejstarsi, ze .... krom W. haha <img src="zdroje/icons/smileys/3.gif" width="15" height="15" border="0" /> ) a ani spankovej dluh jsem porad nedohnal ..::http:// :: 
1506::volejbal::<span style="color:#FF0000;">Evča</span>:: ::17:56 01.04.::Ve 4 se mi moc nechce... ::http:// :: 
1505::volejbal::<span style="color:#0000CC;">Jarda</span>:: ::20:39 31.03.::jj, to je zmenou casu ..... v pondeli to bude uz ok::http:// :: 
1504::volejbal::<span style="color:#FF6600;">Hanka</span>:: ::20:20 31.03.::Tabulka se tu nějak splašila  <img src="zdroje/icons/smileys/15.gif" width="15" height="15" border="0" /> . Zítra nedorazím, musím pracovat ...::http:// :: 
1503::volejbal::<span style="color:#000099;">host</span>:: ::15:29 25.03.::Hanka Ř. jsem zapsána jako Kasička ::http:// :: 
